,Words,AROU,VAL,DOM,CNC,IMAG
1919,fit (convulsion),4.758,2.485,3.061,5.182,5.333
3865,pudding,5.529,6.406,4.629,6.086,6.029
2801,letter,4.686,5.8,5.2,6.286,6.412
230,aroused,7.943,7.265,5.667,2.677,4.147
3361,only,3.6,4.559,4.529,2.829,2.546
2924,lunching,4.188,5.906,5.621,4.438,4.636
1084,content (happy),6.548,8.156,7.267,2.849,4.667
1964,folk,4.0,5.794,4.807,4.618,4.091
4279,seal (close),3.406,5.343,5.625,4.939,4.515
381,bat (club),4.0,4.727,5.469,6.152,6.212
3575,persist,4.647,4.853,5.971,2.647,2.471
3221,national,4.546,5.943,4.844,3.563,3.333
2022,freeze,3.939,3.818,4.061,4.771,4.882
3379,orange (colour),5.735,6.171,5.543,5.714,6.824
5146,trim,3.353,5.294,4.677,4.412,4.656
2195,grade (slope),3.257,4.912,5.03,4.706,4.314
439,betray,5.206,1.742,3.697,2.742,2.719
655,bunk (truant),4.767,3.393,5.655,3.69,3.429
2759,lawyer,4.333,5.212,5.412,6.382,6.0
373,bass,3.969,5.514,5.455,5.0,4.765
2644,joint (meat),4.697,5.424,5.531,5.875,6.412
1921,fit (suitable),4.625,6.125,5.618,3.353,3.441
4882,symptom,4.226,3.5,3.265,3.97,3.971
4035,relate,4.121,6.147,5.088,2.647,3.086
576,bracelet,5.147,6.029,5.6,6.743,6.471
5143,tribute,4.875,6.618,5.375,3.727,3.25
4396,shoot,5.029,3.0,6.394,5.118,5.441
1255,cunt,5.636,2.029,5.063,4.441,4.594
23,abundant,5.235,7.0,6.094,3.0,2.829
1103,cooker,4.229,5.286,5.286,6.677,6.514
829,charm (social allure),6.206,7.571,6.235,3.029,3.571
4118,rifle,5.441,3.529,5.529,6.546,6.647
5123,treason,4.849,1.818,4.788,3.161,2.969
3154,mother,5.143,8.314,4.914,6.0,6.594
3764,power,5.882,5.781,7.242,2.879,3.818
2603,irritating,5.258,2.344,4.5,2.774,3.281
4333,services,4.406,5.813,4.636,4.097,3.515
5024,tinsel,5.032,6.0,5.5,6.219,6.233
3601,physical,6.029,6.171,6.424,4.618,3.588
3927,quiet,4.063,5.688,3.719,3.387,2.906
319,bait,4.867,4.167,3.767,4.807,4.733
3200,mustang,4.914,5.576,5.794,6.029,5.588
2225,great,6.212,8.229,6.636,2.879,2.875
4892,tact,3.677,5.758,5.182,2.6,2.371
1543,drawers,2.912,5.147,5.114,6.343,6.086
2115,geology,3.0,5.059,4.912,4.971,3.758
3603,physics,3.788,5.457,4.394,4.735,3.943
1600,duty,3.824,5.029,4.485,3.059,3.061
422,behaviour,4.886,5.147,5.735,3.143,3.735
3712,polish,3.857,5.833,5.5,5.114,5.472
2787,leggings,3.849,4.97,5.029,6.212,6.314
1101,convoy,3.588,4.853,5.0,5.546,5.471
5265,valuable,6.242,7.588,5.969,3.382,3.677
5537,yeti,4.758,4.735,5.273,5.03,5.364
538,boot (evict),4.294,2.971,4.382,4.029,3.735
4550,son,4.229,6.857,5.886,6.029,5.857
2585,interview,4.849,4.909,3.406,4.5,4.844
3567,periodical (newspaper),3.355,5.267,4.733,5.793,5.167
4800,sugar,5.515,6.2,5.097,6.367,6.25
2146,glasses (eye),3.333,5.5,4.758,6.647,6.794
2094,gather,3.912,5.818,5.441,3.429,3.343
2589,intruder,4.735,2.0,3.314,5.382,5.229
3767,practical,4.781,6.471,6.758,3.849,2.788
297,avenue,3.774,5.323,5.0,5.375,5.063
1235,crunch,4.875,4.939,5.563,4.303,4.719
8,abducted,5.344,1.969,2.871,4.813,4.212
1892,file,3.031,5.212,5.0,5.818,5.844
3456,panorama,5.25,5.882,5.235,4.091,4.485
903,classical,4.971,6.114,5.059,3.121,3.529
279,attention,5.882,6.114,5.529,3.229,3.457
5246,use,4.364,5.226,5.667,2.727,2.353
4110,rice,3.364,5.2,5.094,6.735,6.486
4059,repel,4.323,2.938,5.333,3.531,3.719
4395,shoes,4.212,6.057,5.871,6.613,6.382
977,cod,2.879,4.941,4.879,6.484,5.781
4665,staple,2.765,5.091,5.471,6.147,5.758
5196,Twitter,4.235,4.943,4.824,4.886,5.6
33,accident,5.4,2.765,3.029,4.343,4.943
3740,positive,6.485,8.457,6.324,3.286,3.629
2034,frog,4.129,5.719,5.313,6.778,6.889
1345,definition,3.2,5.412,4.636,3.735,3.514
1886,figment,4.065,5.065,4.903,2.167,2.938
465,blackmail,5.091,2.324,3.824,3.588,3.242
2841,limit,3.543,4.147,3.4,2.824,2.529
3406,output,3.394,5.382,5.546,3.677,2.677
2226,greed,4.485,2.343,4.647,3.206,3.636
3390,organ (piano),4.794,5.714,5.781,6.314,6.618
1047,concrete,3.094,5.294,5.576,6.344,5.906
4314,sense (common),4.125,7.156,6.25,2.303,2.375
1849,father,4.667,6.657,4.636,6.0,6.412
2377,hideaway,4.714,4.618,4.177,4.686,4.629
2418,hooves,3.686,4.97,5.059,6.294,5.886
611,brief,3.235,5.032,4.813,3.147,2.765
1918,fit,5.943,7.177,5.886,4.143,4.677
1433,dinner,5.606,6.714,5.849,6.121,6.314
1090,contract (agreement),3.455,5.029,4.735,4.667,4.771
2605,island,5.438,6.485,5.029,6.313,6.412
1212,crocodile,5.441,4.028,4.5,6.8,6.849
4438,sink (dishes),2.588,4.206,4.781,6.5,6.588
290,aunt,4.286,6.206,4.727,5.677,5.765
5445,wicked,5.686,2.714,5.543,2.559,4.118
5524,wrong,5.273,2.273,4.313,2.424,3.364
5113,transportation,4.188,5.471,5.188,5.394,5.735
2515,independence,7.469,8.03,7.813,2.433,2.906
4053,remorseful,3.906,4.303,3.355,2.807,3.813
2968,manager,3.294,4.886,4.941,5.618,5.735
1231,cruel,4.029,1.743,4.971,2.706,3.471
1025,complete,5.857,7.343,6.857,3.824,3.706
346,banks,3.0,4.206,4.265,5.571,5.971
2618,jail,5.829,1.941,2.886,6.457,6.171
3460,parachute,6.118,5.788,5.212,6.441,6.5
2577,intense,7.029,5.5,5.086,2.486,3.171
1086,context,4.061,5.543,4.833,2.853,2.5
1400,detonate,5.818,2.515,5.774,4.742,4.667
3833,proof,4.156,6.424,5.625,4.065,3.133
1618,eat,5.886,6.529,5.667,5.8,5.647
4281,season,4.875,5.758,4.938,4.688,5.273
4740,stranger,5.485,3.757,4.246,4.71,4.313
534,boom,6.265,4.485,5.429,3.438,4.563
